labels,filepaths
Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler,Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler\26\separation\0.wav
Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler,Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler\26\separation\1.wav
Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler,Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler\27\separation\0.wav
Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler,Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler\27\separation\1.wav
Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler,Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler\28\separation\0.wav
Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler,Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler\28\separation\1.wav
Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler,Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler\29\separation\0.wav
Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler,Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler\29\separation\1.wav
Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler,Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler\30\separation\0.wav
Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler,Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler\30\separation\1.wav
Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler,Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler\31\separation\0.wav
Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler,Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler\31\separation\1.wav
Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler,Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler\32\separation\0.wav
Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler,Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler\32\separation\1.wav
Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler,Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler\33\separation\0.wav
Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler,Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler\33\separation\1.wav
Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler,Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler\34\separation\0.wav
Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler,Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler\34\separation\1.wav
Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler,Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler\35\separation\0.wav
Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler,Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler\35\separation\1.wav
Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler,Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler\36\separation\0.wav
Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler,Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler\36\separation\1.wav
Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler,Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler\37\separation\0.wav
Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler,Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler\37\separation\1.wav
Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler,Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler\38\separation\0.wav
Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler,Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler\38\separation\1.wav
Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler,Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler\39\separation\0.wav
Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler,Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler\39\separation\1.wav
Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler,Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler\40\separation\0.wav
Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler,Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler\40\separation\1.wav
Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler,Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler\41\separation\0.wav
Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler,Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler\41\separation\1.wav
Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler,Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler\42\separation\0.wav
Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler,Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler\42\separation\1.wav
Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler,Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler\43\separation\0.wav
Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler,Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler\43\separation\1.wav
Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler,Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler\44\separation\0.wav
Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler,Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler\44\separation\1.wav
Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler,Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler\45\separation\0.wav
Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler,Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler\45\separation\1.wav
Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler,Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler\46\separation\0.wav
Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler,Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler\46\separation\1.wav
Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler,Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler\47\separation\0.wav
Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler,Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler\47\separation\1.wav
Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler,Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler\48\separation\0.wav
Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler,Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler\48\separation\1.wav
Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler,Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler\49\separation\0.wav
Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler,Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler\49\separation\1.wav
Acrocephalus arundinaceus_Great Reed Warbler+Aegithalos caudatus_Long-tailed Tit,Acrocephalus arundinaceus_Great Reed Warbler+Aegithalos caudatus_Long-tailed Tit\0\separation\0.wav
Acrocephalus arundinaceus_Great Reed Warbler+Aegithalos caudatus_Long-tailed Tit,Acrocephalus arundinaceus_Great Reed Warbler+Aegithalos caudatus_Long-tailed Tit\0\separation\1.wav
Acrocephalus arundinaceus_Great Reed Warbler+Aegithalos caudatus_Long-tailed Tit,Acrocephalus arundinaceus_Great Reed Warbler+Aegithalos caudatus_Long-tailed Tit\1\separation\0.wav
Acrocephalus arundinaceus_Great Reed Warbler+Aegithalos caudatus_Long-tailed Tit,Acrocephalus arundinaceus_Great Reed Warbler+Aegithalos caudatus_Long-tailed Tit\1\separation\1.wav
Acrocephalus arundinaceus_Great Reed Warbler+Aegithalos caudatus_Long-tailed Tit,Acrocephalus arundinaceus_Great Reed Warbler+Aegithalos caudatus_Long-tailed Tit\2\separation\0.wav
Acrocephalus arundinaceus_Great Reed Warbler+Aegithalos caudatus_Long-tailed Tit,Acrocephalus arundinaceus_Great Reed Warbler+Aegithalos caudatus_Long-tailed Tit\2\separation\1.wav
Acrocephalus arundinaceus_Great Reed Warbler+Aegithalos caudatus_Long-tailed Tit,Acrocephalus arundinaceus_Great Reed Warbler+Aegithalos caudatus_Long-tailed Tit\3\separation\0.wav
Acrocephalus arundinaceus_Great Reed Warbler+Aegithalos caudatus_Long-tailed Tit,Acrocephalus arundinaceus_Great Reed Warbler+Aegithalos caudatus_Long-tailed Tit\3\separation\1.wav
Acrocephalus arundinaceus_Great Reed Warbler+Aegithalos caudatus_Long-tailed Tit,Acrocephalus arundinaceus_Great Reed Warbler+Aegithalos caudatus_Long-tailed Tit\4\separation\0.wav
Acrocephalus arundinaceus_Great Reed Warbler+Aegithalos caudatus_Long-tailed Tit,Acrocephalus arundinaceus_Great Reed Warbler+Aegithalos caudatus_Long-tailed Tit\4\separation\1.wav
Acrocephalus arundinaceus_Great Reed Warbler+Aegithalos caudatus_Long-tailed Tit,Acrocephalus arundinaceus_Great Reed Warbler+Aegithalos caudatus_Long-tailed Tit\5\separation\0.wav
Acrocephalus arundinaceus_Great Reed Warbler+Aegithalos caudatus_Long-tailed Tit,Acrocephalus arundinaceus_Great Reed Warbler+Aegithalos caudatus_Long-tailed Tit\5\separation\1.wav
Acrocephalus arundinaceus_Great Reed Warbler+Aegithalos caudatus_Long-tailed Tit,Acrocephalus arundinaceus_Great Reed Warbler+Aegithalos caudatus_Long-tailed Tit\6\separation\0.wav
Acrocephalus arundinaceus_Great Reed Warbler+Aegithalos caudatus_Long-tailed Tit,Acrocephalus arundinaceus_Great Reed Warbler+Aegithalos caudatus_Long-tailed Tit\6\separation\1.wav
Acrocephalus arundinaceus_Great Reed Warbler+Aegithalos caudatus_Long-tailed Tit,Acrocephalus arundinaceus_Great Reed Warbler+Aegithalos caudatus_Long-tailed Tit\7\separation\0.wav
Acrocephalus arundinaceus_Great Reed Warbler+Aegithalos caudatus_Long-tailed Tit,Acrocephalus arundinaceus_Great Reed Warbler+Aegithalos caudatus_Long-tailed Tit\7\separation\1.wav
Acrocephalus arundinaceus_Great Reed Warbler+Aegithalos caudatus_Long-tailed Tit,Acrocephalus arundinaceus_Great Reed Warbler+Aegithalos caudatus_Long-tailed Tit\8\separation\0.wav
Acrocephalus arundinaceus_Great Reed Warbler+Aegithalos caudatus_Long-tailed Tit,Acrocephalus arundinaceus_Great Reed Warbler+Aegithalos caudatus_Long-tailed Tit\8\separation\1.wav
Acrocephalus arundinaceus_Great Reed Warbler+Aegithalos caudatus_Long-tailed Tit,Acrocephalus arundinaceus_Great Reed Warbler+Aegithalos caudatus_Long-tailed Tit\9\separation\0.wav
Acrocephalus arundinaceus_Great Reed Warbler+Aegithalos caudatus_Long-tailed Tit,Acrocephalus arundinaceus_Great Reed Warbler+Aegithalos caudatus_Long-tailed Tit\9\separation\1.wav
Acrocephalus arundinaceus_Great Reed Warbler+Aegithalos caudatus_Long-tailed Tit,Acrocephalus arundinaceus_Great Reed Warbler+Aegithalos caudatus_Long-tailed Tit\10\separation\0.wav
Acrocephalus arundinaceus_Great Reed Warbler+Aegithalos caudatus_Long-tailed Tit,Acrocephalus arundinaceus_Great Reed Warbler+Aegithalos caudatus_Long-tailed Tit\10\separation\1.wav
Acrocephalus arundinaceus_Great Reed Warbler+Aegithalos caudatus_Long-tailed Tit,Acrocephalus arundinaceus_Great Reed Warbler+Aegithalos caudatus_Long-tailed Tit\11\separation\0.wav
Acrocephalus arundinaceus_Great Reed Warbler+Aegithalos caudatus_Long-tailed Tit,Acrocephalus arundinaceus_Great Reed Warbler+Aegithalos caudatus_Long-tailed Tit\11\separation\1.wav
Acrocephalus arundinaceus_Great Reed Warbler+Aegithalos caudatus_Long-tailed Tit,Acrocephalus arundinaceus_Great Reed Warbler+Aegithalos caudatus_Long-tailed Tit\12\separation\0.wav
Acrocephalus arundinaceus_Great Reed Warbler+Aegithalos caudatus_Long-tailed Tit,Acrocephalus arundinaceus_Great Reed Warbler+Aegithalos caudatus_Long-tailed Tit\12\separation\1.wav
Acrocephalus arundinaceus_Great Reed Warbler+Aegithalos caudatus_Long-tailed Tit,Acrocephalus arundinaceus_Great Reed Warbler+Aegithalos caudatus_Long-tailed Tit\13\separation\0.wav
